staId,staName,staShortCode,staFullCode,connectionWith,connectionWith2,conCount,con1id,con1sta,con1time,con1platform,con2id,con2sta,con2time,con2platform,con3id,con3sta,con3time,con3platform,intCount,int1id,int1sta,int1time,int2id,int2sta,int2time,int3id,int3sta,int3time
0,Tha Phra,BL01,MRTBL_BL01,BLANK,BLANK,3,1,MRTBL_BL02,2,4,31,MRTBL_BL32,2,2,32,MRTBL_BL33,2,1,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
1,Charan 13,BL02,MRTBL_BL02,BLANK,BLANK,2,0,MRTBL_BL01,2,2,2,MRTBL_BL03,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
2,Fai Chai,BL03,MRTBL_BL03,BLANK,BLANK,2,1,MRTBL_BL02,3,2,3,MRTBL_BL04,1,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
3,Bang Khun Non,BL04,MRTBL_BL04,BLANK,BLANK,2,2,MRTBL_BL03,1,2,4,MRTBL_BL05,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
4,Bang Yi Khan,BL05,MRTBL_BL05,BLANK,BLANK,2,3,MRTBL_BL04,3,2,5,MRTBL_BL06,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
5,Sirindhorn,BL06,MRTBL_BL06,BLANK,BLANK,2,4,MRTBL_BL05,2,2,6,MRTBL_BL07,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
6,Bang Phlat,BL07,MRTBL_BL07,BLANK,BLANK,2,5,MRTBL_BL06,2,2,7,MRTBL_BL08,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
7,Bang O,BL08,MRTBL_BL08,BLANK,BLANK,2,6,MRTBL_BL07,2,2,8,MRTBL_BL09,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
8,Bang Pho,BL09,MRTBL_BL09,ChaoPhrayaExpressBoat,BLANK,2,7,MRTBL_BL08,3,2,9,MRTBL_BL10,1,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
9,Tao Poon,BL10,MRTBL_BL10,BLANK,BLANK,2,8,MRTBL_BL09,1,2,10,MRTBL_BL11,3,1,-1,BLANK,BLANK,BLANK,1,148,MRTPL_PP16,3,-1,BLANK,BLANK,-1,BLANK,BLANK
10,Bang Sue,BL11,MRTBL_BL11,SRT: KrungthepAphiwatCentralTerminal,BLANK,2,9,MRTBL_BL10,3,2,11,MRTBL_BL12,2,1,-1,BLANK,BLANK,BLANK,2,183,SRTETDR_RN01,8,179,SRTETLR_RW01,8,-1,BLANK,BLANK
11,Kamphaeng Phet,BL12,MRTBL_BL12,BLANK,BLANK,2,10,MRTBL_BL11,2,2,12,MRTBL_BL13,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
12,Chatuchak Park,BL13,MRTBL_BL13,BLANK,BLANK,2,11,MRTBL_BL12,2,2,13,MRTBL_BL14,2,1,-1,BLANK,BLANK,BLANK,1,76,BTSSUK_N08,4,-1,BLANK,BLANK,-1,BLANK,BLANK
13,Phahon Yothin,BL14,MRTBL_BL14,BLANK,BLANK,2,12,MRTBL_BL13,2,2,14,MRTBL_BL15,3,1,-1,BLANK,BLANK,BLANK,1,75,BTSSUK_N09,4,-1,BLANK,BLANK,-1,BLANK,BLANK
14,Lat Phrao,BL15,MRTBL_BL15,BLANK,BLANK,2,13,MRTBL_BL14,3,2,15,MRTBL_BL16,1,1,-1,BLANK,BLANK,BLANK,1,110,MRTYL_YL01,3,-1,BLANK,BLANK,-1,BLANK,BLANK
15,Ratchadaphisek,BL16,MRTBL_BL16,BLANK,BLANK,2,14,MRTBL_BL15,1,2,16,MRTBL_BL17,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
16,Sutthisan,BL17,MRTBL_BL17,BLANK,BLANK,2,15,MRTBL_BL16,2,2,17,MRTBL_BL18,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
17,Huai Khwang,BL18,MRTBL_BL18,BLANK,BLANK,2,16,MRTBL_BL17,2,2,18,MRTBL_BL19,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
18,Thailand Cultural Centre,BL19,MRTBL_BL19,BLANK,BLANK,2,17,MRTBL_BL18,3,2,19,MRTBL_BL20,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
19,Phra Ram 9,BL20,MRTBL_BL20,BLANK,BLANK,2,18,MRTBL_BL19,2,2,20,MRTBL_BL21,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
20,Phetchaburi,BL21,MRTBL_BL21,BLANK,BLANK,2,19,MRTBL_BL20,2,2,21,MRTBL_BL22,2,1,-1,BLANK,BLANK,BLANK,1,43,ARL_A6,5,-1,BLANK,BLANK,-1,BLANK,BLANK
21,Sukhumvit,BL22,MRTBL_BL22,BLANK,BLANK,2,20,MRTBL_BL21,2,2,22,MRTBL_BL23,2,1,-1,BLANK,BLANK,BLANK,1,87,BTSSUK_E04,10,-1,BLANK,BLANK,-1,BLANK,BLANK
22,Queen Sirikit National Convention Centre,BL23,MRTBL_BL23,BLANK,BLANK,2,21,MRTBL_BL22,2,2,23,MRTBL_BL24,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
23,Khlong Toei,BL24,MRTBL_BL24,BLANK,BLANK,2,22,MRTBL_BL23,2,2,24,MRTBL_BL25,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
24,Lumphini,BL25,MRTBL_BL25,BLANK,BLANK,2,23,MRTBL_BL24,2,2,25,MRTBL_BL26,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
25,Si Lom,BL26,MRTBL_BL26,BLANK,BLANK,2,24,MRTBL_BL25,2,2,26,MRTBL_BL27,1,1,-1,BLANK,BLANK,BLANK,1,49,BTSSIL_S02,7,-1,BLANK,BLANK,-1,BLANK,BLANK
26,Sam Yan,BL27,MRTBL_BL27,BLANK,BLANK,2,25,MRTBL_BL26,1,2,27,MRTBL_BL28,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
27,Hua Lamphong,BL28,MRTBL_BL28,SRT: Bangkok,BLANK,2,26,MRTBL_BL27,3,2,28,MRTBL_BL29,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
28,Wat Mangkon,BL29,MRTBL_BL29,BLANK,BLANK,2,27,MRTBL_BL28,2,2,29,MRTBL_BL30,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
29,Sam Yot,BL30,MRTBL_BL30,BLANK,BLANK,2,28,MRTBL_BL29,2,2,30,MRTBL_BL31,1,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
30,Sanam Chai,BL31,MRTBL_BL31,ChaoPhrayaExpressBoat,BLANK,2,29,MRTBL_BL30,1,2,31,MRTBL_BL32,3,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
31,Itsaraphap,BL32,MRTBL_BL32,BLANK,BLANK,2,30,MRTBL_BL31,3,2,0,MRTBL_BL01,2,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
32,Bang Phai,BL33,MRTBL_BL33,BLANK,BLANK,2,0,MRTBL_BL01,2,2,33,MRTBL_BL34,1,1,-1,BLANK,BLANK,BLANK,0,-1,BLANK,BLANK,-1,BLANK,BLANK,-1,BLANK,BLANK
