BTSSUK,BTSP1,1,true,BTS,BTSSUK,BTS SUKHUMVIT LINE,113,176,71
BTSSIL,BTSP1,2,true,BTS,BTSSIL,BTS SILOM LINE,49,93,54
MRTBL,MRTP1,3,true,MRT,MRTBL,MRT BLUE LINE,49,96,158
MRTPL,MRTP1,4,true,MRT,MRTPL,MRT PURPLE LINE,104,50,121
ARL,ARLP1,5,true,ARL,ARL,AIRPORT RAIL LINK,232,86,88
BTSGL,BTSGL1,6,true,BTSGL,BTSGL,BTS GOLD LINE,204,153,51
SRTETDR,SRTP1,7,true,SRTET,SRTETD,SRT DARK RED LINE ,240,24,24
SRTETLR,SRTP1,8,true,SRTET,SRTETL,SRT LIGHT RED LINE,217,106,106
MRTYL,MRTYLP1,9,true,MRTYL,MRTYL,MRT YELLOW LINE,230,230,23
MRTPK,MRTPKP1,10,true,MRTPK,MRTPK,MRT PINK LINE,226,163,193
