srcL,srcS,srcF,destL,destS,destF,price
MRTYL,YL01,MRTYL_YL01,MRTYL,YL01,MRTYL_YL01,15
MRTYL,YL01,MRTYL_YL01,MRTYL,YL02,MRTYL_YL02,19
MRTYL,YL01,MRTYL_YL01,MRTYL,YL03,MRTYL_YL03,23
MRTYL,YL01,MRTYL_YL01,MRTYL,YL04,MRTYL_YL04,27
MRTYL,YL01,MRTYL_YL01,MRTYL,YL05,MRTYL_YL05,30
MRTYL,YL01,MRTYL_YL01,MRTYL,YL06,MRTYL_YL06,33
MRTYL,YL01,MRTYL_YL01,MRTYL,YL07,MRTYL_YL07,36
MRTYL,YL01,MRTYL_YL01,MRTYL,YL08,MRTYL_YL08,39
MRTYL,YL01,MRTYL_YL01,MRTYL,YL09,MRTYL_YL09,42
MRTYL,YL01,MRTYL_YL01,MRTYL,YL10,MRTYL_YL10,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL11,MRTYL_YL11,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL12,MRTYL_YL12,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL13,MRTYL_YL13,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL14,MRTYL_YL14,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL15,MRTYL_YL15,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL16,MRTYL_YL16,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL17,MRTYL_YL17,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL18,MRTYL_YL18,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL19,MRTYL_YL19,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL20,MRTYL_YL20,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL21,MRTYL_YL21,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL22,MRTYL_YL22,45
MRTYL,YL01,MRTYL_YL01,MRTYL,YL23,MRTYL_YL23,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL02,MRTYL_YL02,15
MRTYL,YL02,MRTYL_YL02,MRTYL,YL03,MRTYL_YL03,19
MRTYL,YL02,MRTYL_YL02,MRTYL,YL04,MRTYL_YL04,24
MRTYL,YL02,MRTYL_YL02,MRTYL,YL05,MRTYL_YL05,26
MRTYL,YL02,MRTYL_YL02,MRTYL,YL06,MRTYL_YL06,29
MRTYL,YL02,MRTYL_YL02,MRTYL,YL07,MRTYL_YL07,31
MRTYL,YL02,MRTYL_YL02,MRTYL,YL08,MRTYL_YL08,36
MRTYL,YL02,MRTYL_YL02,MRTYL,YL09,MRTYL_YL09,39
MRTYL,YL02,MRTYL_YL02,MRTYL,YL10,MRTYL_YL10,42
MRTYL,YL02,MRTYL_YL02,MRTYL,YL11,MRTYL_YL11,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL12,MRTYL_YL12,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL13,MRTYL_YL13,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL14,MRTYL_YL14,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL15,MRTYL_YL15,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL16,MRTYL_YL16,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL17,MRTYL_YL17,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL18,MRTYL_YL18,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL19,MRTYL_YL19,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL20,MRTYL_YL20,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL21,MRTYL_YL21,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL22,MRTYL_YL22,45
MRTYL,YL02,MRTYL_YL02,MRTYL,YL23,MRTYL_YL23,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL03,MRTYL_YL03,15
MRTYL,YL03,MRTYL_YL03,MRTYL,YL04,MRTYL_YL04,21
MRTYL,YL03,MRTYL_YL03,MRTYL,YL05,MRTYL_YL05,23
MRTYL,YL03,MRTYL_YL03,MRTYL,YL06,MRTYL_YL06,26
MRTYL,YL03,MRTYL_YL03,MRTYL,YL07,MRTYL_YL07,28
MRTYL,YL03,MRTYL_YL03,MRTYL,YL08,MRTYL_YL08,31
MRTYL,YL03,MRTYL_YL03,MRTYL,YL09,MRTYL_YL09,35
MRTYL,YL03,MRTYL_YL03,MRTYL,YL10,MRTYL_YL10,39
MRTYL,YL03,MRTYL_YL03,MRTYL,YL11,MRTYL_YL11,43
MRTYL,YL03,MRTYL_YL03,MRTYL,YL12,MRTYL_YL12,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL13,MRTYL_YL13,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL14,MRTYL_YL14,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL15,MRTYL_YL15,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL16,MRTYL_YL16,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL17,MRTYL_YL17,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL18,MRTYL_YL18,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL19,MRTYL_YL19,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL20,MRTYL_YL20,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL21,MRTYL_YL21,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL22,MRTYL_YL22,45
MRTYL,YL03,MRTYL_YL03,MRTYL,YL23,MRTYL_YL23,45
